"site","Depth","Sample_Date","Chl","AFDW","Lake_Level"
"Incline West",0.5,2016-10-20,31.61360268,49.98572785,6222.76
"Incline West",0.5,2017-04-04,16.82258288,10.71637272,6227.24
"Incline West",0.5,2017-05-22,4.183062456,7.878413744,6228.14
"Incline West",0.5,2017-06-13,2.526024944,4.078663767,6228.61
"Incline West",0.5,2017-07-20,4.739117778,,6228.92
"Incline West",0.5,2018-01-02,3.960952813,2.26432695,6227.74
"Incline West",0.5,2018-02-06,1.621699284,,6227.96
"Incline West",0.5,2018-03-29,12.36863535,6.93915242,6228.58
"Incline West",0.5,2018-05-10,15.69262669,12.50018131,6228.74
"Incline West",0.5,2018-07-25,13.31587795,7.478607314,6228.65
"Incline West",0.5,2019-01-11,18.12260086,11.14366807,6226.73
"Incline West",0.5,2019-03-19,44.37836316,26.95913792,6227.92
"Incline West",0.5,2019-04-29,66.35807351,41.93696339,6228.07
"Incline West",0.5,2019-06-18,10.79,10.88,6228.95
"Incline West",0.5,2019-08-30,11.22,5.814191961,6228.51
"Incline West",0.5,2020-02-07,17.26,7.258831461,6227.41
"Incline West",0.5,2020-04-15,26.43,22.0929841,6227.54
"Incline West",0.5,2020-06-02,13.71,12.77172377,6227.96
"Incline West",0.5,2020-06-24,15.55,15.35540004,6227.86
"Incline West",0.5,2020-10-16,21.8,14.46445518,6226.21
"Incline West",0.5,2021-02-25,,14.91,6225.66
"Incline West",0.5,2021-03-24,,17.45,6225.48
"Incline West",0.5,2021-05-24,,25.09,6225.12
"Incline West",0.5,2021-06-17,,29.25,6224.87
"Incline West",0.5,2021-08-11,,19.62,6224.04
"Incline West",0.5,2021-12-01,,16.42,6223.46
"Incline West",0.5,2022-03-01,,34.25,6223.93
"Incline West",0.5,2022-03-16,,32.92,6223.92
"Incline West",0.5,2022-07-19,,41.23,6224.16
"Incline West",0.5,2023-04-26,12.55,31.79,6225.72
"Incline West",0.5,2023-05-24,5.01,17.17,6226.85
"Incline West",0.5,2023-07-13,0.75,3.4,6228.26
"Incline West",0.5,2023-10-30,5.59,3.49,6227.22
