IndicatorID,ThresholdCategory,ThresholdReportingCategory,IndicatorName,Status2011,Trend2011,Confidence2011,Status2015,Trend2015,Confidence2015,Status2019,Trend2019,Confidence2019,Status2023,Trend2023,Confidence2023
81,Air Quality,Sub-Regional Visibility,"Sub-Regional Visibility 50th Percentile (""Average Visibility Days"")",Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Considerably Better Than Target,Insufficient Data to Determine Trend,Moderate,Considerably Better Than Target,Little or No Change,High
82,Air Quality,Sub-Regional Visibility,"Sub-Regional Visibility 90th Percentile (""Worst Visibility Days"")",Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Considerably Better Than Target,Insufficient Data to Determine Trend,Moderate,Considerably Better Than Target,Moderate Decline,High
83,Fisheries,Instream Flow,Non-Degradation Standard for Instream Flow,,,,,,,,,,,,
84,Fisheries,Instream Flow,Divert Stream Intakes to Lake Sources,,,,,,,,,,,,
85,Fisheries,Lahontan Cutthroat Trout,Lahontan Cutthroat Trout,,,,,,,,,,,,
86,Fisheries,Lake Habitat,"Acres of ""Prime"" Fish Habitat",At or Somewhat Better Than Target,Insufficient Data to Determine Trend,Low,At or Somewhat Better Than Target,Insufficient Data to Determine Trend,Low,At or Somewhat Better Than Target,Insufficient Data to Determine Trend,High,At or Somewhat Better Than Target,Little or No Change,Moderate
87,Fisheries,Stream Habitat,Miles of Stream Habitat in Excellent Stream Condition,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Considerably Better Than Target,Insufficient Data to Determine Trend,Low,Considerably Better Than Target,Little or No Change,Moderate,,,
88,Fisheries,Stream Habitat,Miles of Stream Habitat in Good Condition,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Considerably Worse Than Target,Little or No Change,Moderate,,,
89,Fisheries,Stream Habitat,Miles of Stream Habitat in Marginal Condition,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Somewhat Worse Than Target,Little or No Change,Moderate,,,
90,Noise,Cumulative Noise Events,Commercial Areas,At or Somewhat Better Than Target,Little or No Change,Low,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Low,At or Somewhat Better Than Target,Little or No Change,Moderate
91,Noise,Cumulative Noise Events,Critical Wildlife Habitat Areas,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Somewhat Worse Than Target,Little or No Change,Moderate
92,Noise,Cumulative Noise Events,High Density Residential Areas,Somewhat Worse Than Target,Little or No Change,Low,Somewhat Worse Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate
93,Noise,Cumulative Noise Events,Hotel/Motel Areas,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate
94,Noise,Cumulative Noise Events,Industrial Areas,At or Somewhat Better Than Target,Little or No Change,Low,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate
95,Noise,Cumulative Noise Events,Low Density Residential Areas,Somewhat Worse Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate
96,Noise,Cumulative Noise Events,Rural Outdoor Recreation Areas,Somewhat Worse Than Target,Little or No Change,Low,At or Somewhat Better Than Target,Little or No Change,Low,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate
97,Noise,Cumulative Noise Events,Transportation Corridors,Somewhat Worse Than Target,Little or No Change,Low,Somewhat Worse Than Target,Little or No Change,Low,,,,,,
98,Noise,Cumulative Noise Events,Urban Outdoor Recreation Areas,Somewhat Worse Than Target,Little or No Change,Low,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate
99,Noise,Cumulative Noise Events,Wilderness And Roadless Areas,At or Somewhat Better Than Target,Moderate Improvement,Low,At or Somewhat Better Than Target,Moderate Improvement,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate
100,Noise,Single Noise Events,Aircraft Noise Departure/Arrival (8 AM To 8 PM),Somewhat Worse Than Target,Moderate Decline,Low,Somewhat Worse Than Target,Insufficient Data to Determine Trend,Low,Somewhat Worse Than Target,Insufficient Data to Determine Trend,Low,Somewhat Worse Than Target,Insufficient Data to Determine Trend,Low
101,Noise,Single Noise Events,Aircraft Noise Departure/Arrival (8 PM To 8 AM),Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Somewhat Worse Than Target,Insufficient Data to Determine Trend,Low,Somewhat Worse Than Target,Insufficient Data to Determine Trend,Low,Somewhat Worse Than Target,Insufficient Data to Determine Trend,Low
102,Noise,Single Noise Events,"Motor Vehicles Greater Than 6,000 Gvw For Speeds Greater Than 35 Mph",Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
103,Noise,Single Noise Events,"Motor Vehicles Greater Than 6,000 Gvw For Speeds Less Than 35 Mph",Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
104,Noise,Single Noise Events,"Motor Vehicles Less Than 6,000 Gv For Speeds Less Than 35 Mph",Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
105,Noise,Single Noise Events,"Motor Vehicles Less Than 6,000 Gvw For Speeds Greater Than 35 Mph",Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
106,Noise,Single Noise Events,Motorcycles For Speeds Greater Than 35 Mph,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
107,Noise,Single Noise Events,Motorcycles For Speeds Less Than 35 Mph,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
108,Noise,Single Noise Events,Off-Road Vehicles For Speeds Greater Than 35 Mph,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
109,Noise,Single Noise Events,Off-Road Vehicles For Speeds Less Than 35 Mph,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
110,Noise,Single Noise Events,Post 1992 Watercraft-Stationary Test,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
111,Noise,Single Noise Events,Pre-1993 Watercraft-Stationary Test,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
112,Noise,Single Noise Events,Snowmobiles,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
113,Noise,Single Noise Events,Watercraft Pass-By Test,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
114,Noise,Single Noise Events,Watercraft Shoreline Test,Somewhat Worse Than Target,Insufficient Data to Determine Trend,Low,Somewhat Worse Than Target,Little or No Change,Low,Somewhat Worse Than Target,Little or No Change,Moderate,Somewhat Worse Than Target,Little or No Change,Moderate
115,Recreation,Fair Share Distribution of Recreation Capacity,Fair Share Distribution Of Recreation Capacity,,,,,,,,,,,,
116,Recreation,Quality of Recreation Experience and Access to Recreational Opportunities,Quality of Recreation Experience & Access to Recreational Opportunities,,,,,,,,,,,,
117,Scenic Resources,Built Environment,Built Environment (Community Design),,,,,,,,,,,,
118,Scenic Resources,Other Areas,Scenic Quality of Other Areas (Recreation Sites and Bike Trails),At or Somewhat Better Than Target,Little or No Change,High,At or Somewhat Better Than Target,Little or No Change,High,At or Somewhat Better Than Target,Little or No Change,High,At or Somewhat Better Than Target,Little or No Change,High
119,Scenic Resources,Roadway and Shoreline Units,Scenic Quality Ratings for Roadway Travel Units (Scenic Resources),At or Somewhat Better Than Target,Little or No Change,High,At or Somewhat Better Than Target,Little or No Change,High,At or Somewhat Better Than Target,Little or No Change,High,At or Somewhat Better Than Target,Little or No Change,High
120,Scenic Resources,Roadway and Shoreline Units,Travel Route Ratings for Roadway Travel Units,At or Somewhat Better Than Target,Moderate Improvement,High,At or Somewhat Better Than Target,Moderate Improvement,High,At or Somewhat Better Than Target,Moderate Improvement,High,At or Somewhat Better Than Target,Little or No Change,High
121,Scenic Resources,Roadway and Shoreline Units,Scenic Quality Ratings for Shoreline Travel Units (Scenic Resources),At or Somewhat Better Than Target,Little or No Change,High,At or Somewhat Better Than Target,Little or No Change,High,At or Somewhat Better Than Target,Little or No Change,High,At or Somewhat Better Than Target,Little or No Change,High
122,Scenic Resources,Roadway and Shoreline Units,Travel Route Ratings for Shoreline Travel Units,At or Somewhat Better Than Target,Little or No Change,High,At or Somewhat Better Than Target,Little or No Change,High,At or Somewhat Better Than Target,Little or No Change,High,At or Somewhat Better Than Target,Little or No Change,High
123,Soil Conservation,Impervious Cover,Percent of Land Coverage Within Land Capability Class 1a (allow up to 1% impervious coverage),Considerably Better Than Target,Insufficient Data to Determine Trend,Moderate,Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate
124,Soil Conservation,Impervious Cover,Percent of Land Coverage Within Land Capability Class 1b (allow up to 1% impervious coverage),Considerably Worse Than Target,Insufficient Data to Determine Trend,Moderate,Considerably Worse Than Target,Moderate Improvement,Moderate,Considerably Worse Than Target,Little or No Change,Moderate,Considerably Worse Than Target,Little or No Change,Moderate
125,Soil Conservation,Impervious Cover,Percent of Land Coverage Within Land Capability Class 1c (allow up to 1% impervious coverage),At or Somewhat Better Than Target,Insufficient Data to Determine Trend,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate
126,Soil Conservation,Impervious Cover,Percent of Land Coverage Within Land Capability Class 2 (allow up to 1% impervious coverage),Somewhat Worse Than Target,Insufficient Data to Determine Trend,Moderate,Somewhat Worse Than Target,Little or No Change,Moderate,Somewhat Worse Than Target,Little or No Change,Moderate,Considerably Worse Than Target,Little or No Change,Moderate
127,Soil Conservation,Impervious Cover,Percent of Land Coverage Within Land Capability Class 3 (allow up to 5% impervious coverage),Considerably Better Than Target,Insufficient Data to Determine Trend,Moderate,Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Moderate
128,Soil Conservation,Impervious Cover,Percent of Land Coverage Within Land Capability Class 4 (allow up to 20% impervious coverage),Considerably Better Than Target,Insufficient Data to Determine Trend,Moderate,Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Moderate
129,Soil Conservation,Impervious Cover,Percent of Land Coverage Within Land Capability Class 5 (allow up to 25% impervious coverage),Considerably Better Than Target,Insufficient Data to Determine Trend,Moderate,Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Moderate
130,Soil Conservation,Impervious Cover,Percent of Land Coverage Within Land Capability Class 6 (allow up to 30% impervious coverage),Considerably Better Than Target,Insufficient Data to Determine Trend,Moderate,Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Moderate
131,Soil Conservation,Impervious Cover,Percent of Land Coverage Within Land Capability Class 7 (allow up to 30% impervious coverage),At or Somewhat Better Than Target,Insufficient Data to Determine Trend,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate
132,Soil Conservation,Stream Environment Zone,Increase SEZ Function by 5%,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,At or Somewhat Better Than Target,Moderate Improvement,Moderate,Considerably Better Than Target,Moderate Improvement,Moderate,,,
133,Soil Conservation,Stream Environment Zone,Preserve Stream Environment Zone (SEZ) Function,,,,Considerably Worse Than Target,Moderate Improvement,Moderate,,,,,,
134,Soil Conservation,Stream Environment Zone,Restore 25% of Disturbed SEZ,Considerably Worse Than Target,Moderate Improvement,High,Considerably Worse Than Target,Moderate Improvement,Moderate,Somewhat Worse Than Target,Moderate Improvement,Moderate,,,
135,Soil Conservation,Stream Environment Zone,Restore All Undeveloped SEZ,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,High,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Somewhat Worse Than Target,Moderate Improvement,Low,,,
136,Vegetation Preservation,Common Vegetation,Consistency with Bailey Land Capability System,,,,,,,,,,,,
137,Vegetation Preservation,Common Vegetation,Relative Abundance of Meadows And Wetland Vegetation Types,Somewhat Worse Than Target,Insufficient Data to Determine Trend,Moderate,Somewhat Worse Than Target,Little or No Change,Moderate,Somewhat Worse Than Target,Little or No Change,Moderate,Somewhat Worse Than Target,Little or No Change,Moderate
138,Vegetation Preservation,Common Vegetation,Relative Abundance of Red Fir Forest In Seral Stages Other Than Mature,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Considerably Worse Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate
139,Vegetation Preservation,Common Vegetation,Relative Abundance of Deciduous Riparian Vegetation,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Considerably Worse Than Target,Little or No Change,Low,Considerably Worse Than Target,Little or No Change,Low,Considerably Worse Than Target,Little or No Change,Low
140,Vegetation Preservation,Common Vegetation,Relative Abundance of Shrub Vegetation Type,Considerably Better Than Target,Insufficient Data to Determine Trend,Low,Considerably Better Than Target,Little or No Change,Low,Considerably Better Than Target,Little or No Change,Low,Considerably Better Than Target,Little or No Change,Moderate
141,Vegetation Preservation,Common Vegetation,Relative Abundance of Yellow Pine Forest In Seral Stages Other Than Mature,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Considerably Worse Than Target,Little or No Change,Moderate,Considerably Worse Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate
142,Vegetation Preservation,Common Vegetation,Appropriate Management Practices,,,,,,,,,,,,
143,Vegetation Preservation,Common Vegetation,Non-Degradation of Stream Environment Zones,,,,,,,,,,,,
144,Vegetation Preservation,Common Vegetation,Pattern: Limit Size Of New Forest Openings,,,,,,,,,,,,
145,Vegetation Preservation,Common Vegetation,Pattern: Stand Composition And Age,,,,,,,,,,,,
146,Vegetation Preservation,Common Vegetation,Vegetation Community Richness,At or Somewhat Better Than Target,Little or No Change,High,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Little or No Change,Moderate
147,Vegetation Preservation,Late Seral/Old Growth Ecosystems,Montane Zone,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Considerably Worse Than Target,Little or No Change,Low,Considerably Worse Than Target,Little or No Change,Low,Considerably Worse Than Target,Little or No Change,Low
148,Vegetation Preservation,Late Seral/Old Growth Ecosystems,Sub-Alpine Zone,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Considerably Worse Than Target,Little or No Change,Low,Considerably Worse Than Target,Little or No Change,Low
149,Vegetation Preservation,Late Seral/Old Growth Ecosystems,Total Old Growth,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Considerably Worse Than Target,Little or No Change,Low,Considerably Worse Than Target,Little or No Change,Low
150,Vegetation Preservation,Late Seral/Old Growth Ecosystems,Upper Montane Zone,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Considerably Worse Than Target,Little or No Change,Low,Considerably Worse Than Target,Little or No Change,Low
151,Vegetation Preservation,Sensitive Plants,Cup Lake Draba (Draba asterophora var. macrocarpa),Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Low,Considerably Better Than Target,Little or No Change,Moderate
152,Vegetation Preservation,Sensitive Plants,Galena Rock Cress (Arabis Rigidissima V. Demote),Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Considerably Worse Than Target,Little or No Change,Low,Considerably Worse Than Target,Little or No Change,,Somewhat Worse Than Target,Insufficient Data to Determine Trend,Low
153,Vegetation Preservation,Sensitive Plants,Long-Petaled Lewisia (Lewisia pygmaea longipetala),Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Low,Considerably Better Than Target,Little or No Change,Moderate
154,Vegetation Preservation,Sensitive Plants,Tahoe Draba (Draba asterophora var. asterophora),Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Low,Considerably Better Than Target,Little or No Change,Moderate
155,Vegetation Preservation,Sensitive Plants,Tahoe Yellow Cress (Rorippa Subumbellata),Considerably Better Than Target,Moderate Improvement,High,Considerably Better Than Target,Moderate Improvement,High,Somewhat Worse Than Target,Little or No Change,Moderate,,,
156,Vegetation Preservation,Uncommon Plant Communities,Grass Lake (sphagnum fen),At or Somewhat Better Than Target,Little or No Change,Moderate,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,,,,,,
157,Vegetation Preservation,Uncommon Plant Communities,Deepwater Plants of Lake Tahoe,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low
158,Vegetation Preservation,Uncommon Plant Communities,Freel Peak Cushion Plant Community,At or Somewhat Better Than Target,Little or No Change,Low,Somewhat Worse Than Target,Rapid Decline,Low,Somewhat Worse Than Target,Insufficient Data to Determine Trend,Low,At or Somewhat Better Than Target,Little or No Change,Moderate
159,Vegetation Preservation,Uncommon Plant Communities,Hell Hole (sphagnum fen),At or Somewhat Better Than Target,Little or No Change,Moderate,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,,,,,,
160,Vegetation Preservation,Uncommon Plant Communities,Osgood Swamp,Somewhat Worse Than Target,Moderate Decline,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,,,,,,
161,Vegetation Preservation,Uncommon Plant Communities,Pope Marsh,Somewhat Worse Than Target,Little or No Change,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,,,,,,
162,Vegetation Preservation,Uncommon Plant Communities,Taylor Creek Marsh,At or Somewhat Better Than Target,Little or No Change,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,,,,,,
163,Vegetation Preservation,Uncommon Plant Communities,Upper Truckee Marsh,Somewhat Worse Than Target,Little or No Change,Low,Somewhat Worse Than Target,Little or No Change,Low,,,,,,
164,Water Quality,Aquatic Invasive Species,Aquatic Invasive Species Abundance,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,High,,,
165,Water Quality,Aquatic Invasive Species,Aquatic Invasive Species Distribution,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,High,,,
166,Water Quality,Aquatic Invasive Species,Aquatic Invasive Species Ecological Impacts,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,
167,Water Quality,Aquatic Invasive Species,Aquatic Invasive Species Economic Impacts,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,
