ProjectName,YearCompleted,AcresRestored,CumulativeAcresRestored,Action
Divers Cove,2010,2.5,562.12,Restored
Angora Fisheries/SEZ Enhacement,2010,0.5,562.62,Restored
Lake Forest Meadow Restoration,2011,3.2,565.82,Restored
Lake Forest Meadow Restoration Phase 2,2011,1.14,566.96,Restored
Upper Truckee River - Reaches 3 & 4,2011,127,693.96,Restored
Lower Blackwood Creek Phase 1,2012,2,695.96,Restored
High Meadows/Cold Creek Restoration,2012,100,795.96,Restored
Blackwood Creek Phase 1,2012,35,830.96,Restored
Stanford Rock Road Crossing,2013,0.1,831.06,Restored
Fallen Leaf Campground Phase 2,2013,0.23,831.29,Restored
Third Creek / Incline Creek Restoration - Phase 4,2013,1.05,832.34,Restored
Angora Fire: Gardner Mountain Meadow Restoration,2014,10,842.34,Restored
Snow Creek Wetlands Restoration,2014,3.2,845.54,Restored
High Meadows/Cold Creek Restoration,2014,10,855.54,Restored
Lake Forest Water Quality Improvements - Panorama,2014,1.12,856.66,Restored
William Kent Campground and Day Use BMP Retrofit - Phase 2,2014,0.35,857.01,Restored
" Griff Creek Restoration at Old Kingswood 500,000 Tank",2014,0.59,857.6,Restored
North Canyon Creek SEZ Restoration Project,2015,0.57,858.17,Restored
California Tahoe Conservancy Land Management Program,2016,3.3,861.47,Restored
Upper Truckee River - Reach 5 & 6,2016,120,981.47,Restored
STPUD Upper Truckee Marsh Sewer Facilities Protection Project,2016,1,982.47,Restored
Rosewood Creek Restoration - Middle Reach (Area A),2016,5.25,987.72,Restored
Edgewood Lodge and Golf Course Improvement,2016,7.8,995.52,Restored
Meyers Stream Environment Zone/Erosion Control Project,2017,3.5,999.02,Restored
Burke Creek Highway 50 Crossing & Realignment Project,2018,0.2,999.22,Restored
Slaughter House Creek/ Lot X,2019,6,1005.22,Restored
Blackwood Canyon,2019,50,1055.22,Restored
Dunlap Street,2019,0.6,1055.82,Restored
Private Property,2019,0.7,1056.52,Restored
